# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	40058
#@/user_id	stella
a 	啊	c=69 d=3.31908 t=40058
luo shi 	落實	c=9 d=1.32522 t=40058
luo shi zheng ce 	落實政策	c=1 d=0.937067 t=40058
luo wei 	羅帷	c=0 d=9.33506e-16 t=40058
luo wei song shang qi xiang che 	羅帷送上七香車	c=1 d=9.38184e-15 t=40058
luo xia 	落霞	c=0 d=2.94058e-14 t=40058
luo xia yu gu wu qi fei 	落霞與孤鶩齊飛	c=1 d=2.95532e-13 t=40058
luo xian 	螺線	c=1 d=0.0277367 t=40058
luo xuan 	螺旋	c=11 d=1.07399 t=40058
luo yang 	洛陽	c=7 d=0.267272 t=40058
luo yang nv er dui men ju 	洛陽女兒對門居	c=1 d=9.10457e-15 t=40058
luo yue 	落月	c=0 d=0.0860708 t=40058
luo yue yao qing man jiang shu 	落月搖情滿江樹	c=1 d=4.74073e-14 t=40058
luo zai 	落在	c=1 d=0.895834 t=40058
luo zhong he yu yu 	洛中何鬱鬱	c=1 d=7.52527e-09 t=40058
lv 	屢	c=0 d=0.0965605 t=40058
lv 	履	c=0 d=0.0694197 t=40058
lv 	氯	c=0 d=0.00243554 t=40058
lv 	率	c=3 d=0.195676 t=40058
lv 	綠	c=0 d=3.31861e-15 t=40058
lv 	驢	c=0 d=3.20756e-07 t=40058
lv an tong 	氯胺酮	c=1 d=0.56836 t=40058
lv bi 	率比	c=1 d=3.49391e-12 t=40058
lv cha 	綠茶	c=3 d=0.704186 t=40058
lv chan yan 	履巉巖	c=1 d=1.68811e-13 t=40058
lv de ji suan 	率的計算	c=1 d=3.34017e-12 t=40058
lv di 	綠地	c=0 d=2.17244e-11 t=40058
lv di lv 	綠地率	c=1 d=2.18333e-10 t=40058
lv gao tie xie hong su 	氯高鐵血紅素	c=1 d=0.0225956 t=40058
lv hua 	氯化	c=0 d=1.82367e-11 t=40058
lv hua 	綠化	c=0 d=0.0427415 t=40058
lv hua na 	氯化鈉	c=1 d=0.337902 t=40058
lv hua xiao du fu chan wu 	氯化消毒副產物	c=1 d=1.83281e-10 t=40058
lv jia mi 	氯甲醚	c=1 d=3.06006e-11 t=40058
lv li 	膂力	c=1 d=0.00822975 t=40058
lv lv 	屢屢	c=0 d=0.0404542 t=40058
lv lv fa sheng 	屢屢發生	c=1 d=0.40657 t=40058
lv pao 	濾泡	c=0 d=0.0370609 t=40058
lv pao shu tu zhuang xi bao 	濾泡樹突狀細胞	c=1 d=0.00822975 t=40058
lv pao yang 	濾泡樣	c=1 d=0.367879 t=40058
lv rou tang 	驢肉湯	c=2 d=0.0858666 t=40058
lv se 	綠色	c=5 d=0.733621 t=40058
lv se bian ge 	綠色變革	c=1 d=0.304221 t=40058
lv se di tan 	綠色低碳	c=1 d=0.869358 t=40058
lv se fa zhan li nian 	綠色發展理念	c=1 d=0.637628 t=40058
lv se hua 	綠色化	c=1 d=0.40657 t=40058
lv se tong dao 	綠色通道	c=1 d=0.960789 t=40058
lv se you zhi nong chan pin 	綠色優質農產品	c=1 d=0.806541 t=40058
lv si 	旅思	c=0 d=6.54549e-16 t=40058
lv si juan yao yao 	旅思倦搖搖	c=1 d=6.5783e-15 t=40058
lv tui bu dong 	屢推不動	c=1 d=0.970446 t=40058
lv xing 	履行	c=1 d=0.625002 t=40058
lv yan 	閭閻	c=0 d=2.83944e-14 t=40058
lv yan mie jin qing hui fa 	綠煙滅盡清輝發	c=1 d=2.40173e-14 t=40058
lv yan pu di 	閭閻撲地	c=1 d=2.85367e-13 t=40058
lv yi 	綠意	c=1 d=0.40657 t=40058
lv yi xi 	氯乙烯	c=1 d=3.13753e-11 t=40058
lv you 	旅遊	c=1 d=0.377192 t=40058
lv yu xia er you mi lu 	侶魚蝦而友麋鹿	c=1 d=1.09265e-13 t=40058
lv zhi neng li 	履職能力	c=1 d=1.98958e-05 t=40058
lv zhu 	綠竹	c=0 d=3.09135e-14 t=40058
lve 	略	c=1 d=0.956256 t=40058
lve chang le 	略長了	c=1 d=0.00276698 t=40058
lve duo 	略多	c=1 d=0.0536647 t=40058
lve jia 	略加	c=1 d=0.0569831 t=40058
lve you 	略有	c=2 d=0.196799 t=40058
lve you jian su 	略有減速	c=1 d=0.240508 t=40058
lve you xia jiang 	略有下降	c=1 d=5.35444e-05 t=40058
lve yu zhou er xi ye 	掠予舟而西也	c=1 d=1.90333e-13 t=40058
ma 	嗎	c=18 d=2.14048 t=40058
ma 	碼	c=0 d=0.0219808 t=40058
ma 	馬	c=0 d=3.97693e-07 t=40058
ma 	麻	c=0 d=2.18407e-15 t=40058
ma biao 	碼錶	c=4 d=0.634448 t=40058
ma chang 	碼長	c=1 d=0.249075 t=40058
ma chao 	馬超	c=1 d=5.08101e-06 t=40058
ma fan 	麻煩	c=1 d=0.386772 t=40058
ma jia 	馬甲	c=1 d=0.895834 t=40058
ma ke 	馬克	c=1 d=0.927743 t=40058
ma la song 	馬拉松	c=1 d=1 t=40051
ma lian liang 	馬連良	c=1 d=0.00516939 t=40058
ma lu 	馬路	c=0 d=0.000142298 t=40058
ma shang 	馬上	c=2 d=0.408698 t=40058
ma ta fei yan 	馬踏飛燕	c=1 d=3.99687e-06 t=40058
ma teng 	馬騰	c=0 d=0.0818731 t=40058
ma teng han sui shou xi liang 	馬騰韓遂守西涼	c=1 d=0.822835 t=40058
ma zhi 	馬志	c=0 d=0.0995012 t=40058
ma zhi ming 	馬志明	c=3 d=1 t=40058
ma zui 	麻醉	c=1 d=0.551563 t=40058
mai 	買	c=14 d=3.38339 t=40058
mai bu chu qu 	賣不出去	c=1 d=0.218712 t=40058
mai cai 	買菜	c=0 d=0.000565622 t=40058
mai cai le 	買菜了	c=1 d=0.00568457 t=40058
mai chong 	脈衝	c=0 d=2.50537e-12 t=40058
mai chong zao sheng 	脈衝噪聲	c=1 d=2.51793e-11 t=40058
mai chu 	邁出	c=0 d=0.0985112 t=40058
mai chu le 	邁出了	c=1 d=0.99005 t=40058
mai dan 	買單	c=1 d=0.470011 t=40058
mai dang lao 	麥當勞	c=1 d=0.263158 t=40058
mai de 	買的	c=2 d=0.895834 t=40058
mai de 	賣的	c=1 d=0.00124951 t=40058
mai dian 	買點	c=2 d=0.0958472 t=40058
mai dian 	賣點	c=1 d=0.0953692 t=40058
mai dong xi 	買東西	c=2 d=0.341298 t=40058
mai fan 	買飯	c=1 d=0.205975 t=40058
mai fang 	買房	c=2 d=0.311923 t=40058
mai gao qiao 	賣糕橋	c=1 d=0.000713734 t=40058
mai ge 	買個	c=1 d=0.23457 t=40058
mai jia 	賣家	c=2 d=0.941765 t=40058
mai le 	買了	c=3 d=0.88236 t=40058
mai le 	賣了	c=1 d=0.268474 t=40058
mai miao 	麥苗	c=1 d=0.12493 t=40058
mai xiang 	邁向	c=2 d=0.673703 t=40058
mai ya 	麥芽	c=0 d=3.86071e-11 t=40058
mai ya tang 	麥芽糖	c=1 d=3.74661e-10 t=40058
mai yun 	麥耘	c=1 d=0.423162 t=40058
mai zai 	埋在	c=0 d=0.00253494 t=40058
man 	慢	c=7 d=0.979011 t=40058
man 	曼	c=0 d=0.0257947 t=40058
man 	滿	c=2 d=0.292293 t=40058
man 	漫	c=0 d=9.37705e-10 t=40058
man 	蠻	c=0 d=2.25603e-14 t=40058
man di 	滿地	c=0 d=0.0343009 t=40058
man di shang 	滿地上	c=1 d=0.344728 t=40058
man fen 	滿分	c=1 d=0.479505 t=40058
man hu 	縵胡	c=0 d=2.60177e-15 t=40058
man jie zou 	慢節奏	c=1 d=0.794534 t=40058
man jing 	蔓菁	c=0 d=2.24478e-14 t=40058
man man 	慢慢	c=4 d=0.224267 t=40058
man shan 	滿山	c=0 d=5.26559e-15 t=40058
man shen 	滿身	c=1 d=0.882497 t=40058
man tian 	漫天	c=1 d=0.289384 t=40058
man wei 	漫威	c=1 d=0.0175975 t=40058
man xing 	慢性	c=2 d=0.520919 t=40058
man xing zhong du 	慢性中毒	c=1 d=1.78324e-11 t=40058
man xing zu se xing fei 	慢性阻塞性肺	c=1 d=1.59336e-10 t=40058
man yi 	滿意	c=5 d=1.77964 t=40058
man yi du 	滿意度	c=1 d=0.624949 t=40058
man you fei 	漫遊費	c=0 d=0.0562705 t=40058
man yuan 	埋怨	c=1 d=0.373439 t=40058
man yue 	滿月	c=1 d=2.15009e-06 t=40058
man zu 	滿足	c=5 d=0.807598 t=40058
man zui 	滿嘴	c=1 d=0.0359725 t=40058
mang 	忙	c=4 d=1.35981 t=40058
mang 	茫	c=0 d=1.85186e-15 t=40058
mang bu mang 	忙不忙	c=1 d=0.140858 t=40058
mang fa 	盲法	c=1 d=4.59984e-12 t=40058
mang mang 	茫茫	c=0 d=0.0980199 t=40058
mang ran 	茫然	c=0 d=1.65244e-14 t=40058
mao 	毛	c=0 d=2.14009e-11 t=40058
mao 	貿	c=0 d=0.0203926 t=40058
mao chu lai 	冒出來	c=2 d=0.013813 t=40058
mao dun 	矛盾	c=1 d=0.634448 t=40058
mao dun he wen ti 	矛盾和問題	c=1 d=0.557106 t=40058
mao jian 	毛尖	c=1 d=0.00640933 t=40058
mao sheng 	茂盛	c=1 d=0.860708 t=40058
mao xi 	毛細	c=1 d=5.42225e-06 t=40058
mao xi guan 	毛細管	c=2 d=0.219894 t=40058
mao xi guan dian yong 	毛細管電泳	c=2 d=0.44799 t=40058
mao xi guan dian yong fa 	毛細管電泳法	c=1 d=0.169483 t=40058
mao xi guan zhu 	毛細管柱	c=1 d=0.00293808 t=40058
mao xi guan zhu se pu fa 	毛細管柱色譜法	c=1 d=0.000629868 t=40058
mao xi xie guan 	毛細血管	c=0 d=0.00125881 t=40058
mao xi xie guan hou wei jing mai 	毛細血管後微靜脈	c=1 d=0.0126512 t=40058
mao xie 	冒血	c=2 d=0.00376601 t=40058
mao yan 	貓眼	c=1 d=0.97531 t=40058
mao yi 	毛衣	c=1 d=0.0658748 t=40058
mao yi 	貿易	c=4 d=0.984875 t=40058
mao yi gong ping 	貿易公平	c=2 d=0.21565 t=40058
mao yi ni cha 	貿易逆差	c=1 d=0.582748 t=40058
mao yi shun cha 	貿易順差	c=1 d=0.579842 t=40058
mao yi tou zi 	貿易投資	c=1 d=0.951229 t=40058
mao yi wang lai 	貿易往來	c=1 d=0.268474 t=40058
mao yi zhong 	貿易中	c=1 d=0.118245 t=40058
mao yi zi you 	貿易自由	c=1 d=0.108609 t=40058
mao zi 	帽子	c=2 d=1.52504 t=40058
me 	麼	c=1 d=0.843665 t=40058
mei 	昧	c=0 d=5.25288e-16 t=40058
mei 	枚	c=1 d=5.97806e-07 t=40058
mei 	梅	c=0 d=0.0970446 t=40058
mei 	每	c=4 d=0.879745 t=40058
mei 	沒	c=56 d=3.97753 t=40058
mei 	煤	c=0 d=4.38904e-12 t=40058
mei 	美	c=2 d=0.701173 t=40058
mei 	酶	c=190 d=12.6231 t=40058
mei ban 	煤斑	c=1 d=2.19995e-11 t=40058
mei biao ji ce ding fa 	酶標記測定法	c=1 d=0.67368 t=40058
mei chu xi 	沒出息	c=1 d=0.918512 t=40058
mei ci 	每次	c=3 d=0.0464416 t=40058
mei cu 	梅酢	c=0 d=0.198506 t=40058
mei cu fan ying 	酶促反應	c=7 d=0.748264 t=40058
mei cu fen 	梅酢酚	c=-1 d=3.01544e-07 t=40058
mei cui hua 	酶催化	c=8 d=2.04237 t=40058
mei cui hua huo xing 	酶催化活性	c=1 d=0.114178 t=40058
mei dai 	沒帶	c=2 d=0.0100518 t=40058
mei dan bai 	酶蛋白	c=9 d=1.44368 t=40058
mei dan bai he cheng 	酶蛋白合成	c=1 d=0.377192 t=40058
mei dan bai tai lian 	酶蛋白肽鏈	c=1 d=0.0507928 t=40058
mei dan bai zhi 	酶蛋白質	c=1 d=0.165299 t=40058
mei de cui hua xun huan 	酶的催化循環	c=1 d=0.344728 t=40058
mei de huo xing 	酶的活性	c=2 d=0.0818797 t=40058
mei deng 	沒等	c=1 d=0.970446 t=40058
mei di wu 	酶底物	c=1 d=0.131336 t=40058
mei dian 	沒電	c=1 d=6.39714e-10 t=40058
mei dong li xue 	酶動力學	c=2 d=0.932299 t=40058
mei fa 	沒法	c=3 d=0.594651 t=40058
mei fa fen xi 	酶法分析	c=1 d=0.634448 t=40058
mei fan ying 	酶反應	c=2 d=0.0768566 t=40058
mei fang 	美方	c=2 d=0.0031472 t=40058
mei fen zhong 	每分鐘	c=1 d=0.826959 t=40058
mei fen zi 	酶分子	c=4 d=0.576828 t=40058
mei fu zhu yin zi 	酶輔助因子	c=1 d=0.224249 t=40058
mei gan wan 	沒幹完	c=1 d=0.465334 t=40058
mei ge 	每個	c=12 d=1.2677 t=40058
mei ge ren 	每個人	c=1 d=0.0497871 t=40058
mei gong chen fei 	煤工塵肺	c=5 d=8.08669e-08 t=40058
mei gong jia xiu shi 	酶共價修飾	c=2 d=0.113516 t=40058
mei guan xi 	沒關係	c=1 d=0.71177 t=40058
mei guo 	美國	c=4 d=0.930722 t=40058
mei han liang 	酶含量	c=3 d=0.763499 t=40058
mei hao 	美好	c=2 d=1.19985 t=40058
mei hao jia yuan 	美好家園	c=1 d=0.546074 t=40058
mei hao tu jing 	美好圖景	c=1 d=0.285076 t=40058
mei hao wei lai 	美好未來	c=1 d=1 t=40058
mei huo xing 	酶活性	c=6 d=1.82925 t=40058
mei huo xing tiao jie 	酶活性調節	c=1 d=0.0205478 t=40058
mei huo xing zhong xin 	酶活性中心	c=2 d=0.131413 t=40058
mei ji ge 	沒幾個	c=1 d=0.650509 t=40058
mei ji ge 	酶幾個	c=-1 d=9.78334e-08 t=40058
mei ji huo ji 	酶激活劑	c=1 d=0.683861 t=40058
mei ji lian xiao ying 	酶級聯效應	c=2 d=0.163433 t=40058
mei jian guo 	沒見過	c=1 d=0.00625109 t=40058
mei jie 	媒介	c=1 d=0.00937227 t=40058
mei jie ji huo 	酶解激活	c=1 d=0.0218184 t=40058
mei jiu 	美酒	c=0 d=1.81519e-15 t=40058
mei kan jian 	沒看見	c=1 d=0.00909528 t=40058
mei ke 	每課	c=1 d=0.524663 t=40058
mei ke 	沒課	c=1 d=0.527292 t=40058
mei kong 	沒空	c=4 d=0.886867 t=40058
mei lai 	沒來	c=1 d=7.44785e-05 t=40058
mei lan zhu ju 	梅蘭竹菊	c=1 d=0.00327971 t=40058
mei le 	沒了	c=2 d=1.27366 t=40058
mei lei 	酶類	c=9 d=3.27771 t=40058
mei li 	美麗	c=1 d=0.0753602 t=40058
mei li zhong guo 	美麗中國	c=1 d=0.733447 t=40058
mei lian mian yi xi fu fen xi 	酶聯免疫吸附分析	c=1 d=0.802519 t=40058
mei liang 	酶量	c=2 d=1.78881 t=40058
mei lun mei huan 	美輪美奐	c=1 d=0.375311 t=40058
mei mei 	妹妹	c=2 d=0.680451 t=40058
mei miao zhong 	每秒鐘	c=2 d=0.900325 t=40058
mei na 	沒拿	c=1 d=0.0665368 t=40058
mei nian 	每年	c=3 d=0.53692 t=40058
mei ou lian ce ding fa 	酶偶聯測定法	c=1 d=0.980199 t=40058
mei ou lian xing shou ti 	酶偶聯型受體	c=2 d=0.410668 t=40058
mei qian 	沒錢	c=2 d=0.874432 t=40058
mei qian ti 	酶前體	c=1 d=0.0212797 t=40058
mei qu 	沒去	c=1 d=0.618783 t=40058
mei qu guo 	沒去過	c=1 d=0.00192083 t=40058
mei quan 	每圈	c=1 d=0.218712 t=40058
mei ren 	每人	c=3 d=0.431711 t=40058
mei ren 	沒人	c=1 d=0.240275 t=40058
mei ren 	美人	c=0 d=8.72499e-15 t=40058
mei ren jie 	沒人接	c=1 d=0.151072 t=40058
mei sha 	沒啥	c=5 d=0.234873 t=40058
mei shi 	沒事	c=2 d=0.392586 t=40058
mei shi 	美式	c=2 d=0.0163217 t=40058
mei shi 	美食	c=1 d=0.26054 t=40058
mei shi er 	沒事兒	c=2 d=0.522046 t=40058
mei shi jian 	沒時間	c=1 d=0.00128115 t=40058
mei shui 	沒誰	c=1 d=0.267135 t=40058
mei su 	黴素	c=0 d=0.00115047 t=40058
mei tan 	煤炭	c=2 d=0.961335 t=40058
mei ti 	媒體	c=0 d=0.00280336 t=40058
mei ti jie 	媒體界	c=1 d=0.0141223 t=40058
mei ti jie 	媒體解	c=-1 d=2.12393e-09 t=40058
mei tian 	每天	c=2 d=0.384812 t=40058
mei tiao 	每條	c=1 d=0.110803 t=40058
mei tuan 	美團	c=1 d=0.00594622 t=40058
mei wei 	沒味	c=1 d=0.99005 t=40058
mei wen ti 	沒問題	c=2 d=0.882497 t=40058
mei xi jie jie 	煤矽結節	c=1 d=2.22207e-11 t=40058
mei xian ma fan 	沒嫌麻煩	c=1 d=0.0356146 t=40058
mei xing qu 	沒興趣	c=1 d=4.56508e-11 t=40058
mei xue 	沒學	c=0 d=0.00184074 t=40058
mei xue 	酶學	c=1 d=4.00653e-05 t=40058
mei xue guo 	沒學過	c=1 d=0.0184997 t=40058
mei yan 	煤煙	c=0 d=1.56965e-11 t=40058
mei yan xing yan wu shi jian 	煤煙型煙霧事件	c=1 d=1.57752e-10 t=40058
mei yao 	沒要	c=1 d=0.00164502 t=40058
mei yi 	每一	c=1 d=0.268358 t=40058
mei yi bu 	每一步	c=2 d=0.553798 t=40058
mei yi ci 	每一次	c=1 d=0.0262523 t=40058
mei yi da lei 	每一大類	c=1 d=0.56836 t=40058
mei yi ge 	每一個	c=8 d=0.874798 t=40058
mei yi ke shu 	每一棵樹	c=1 d=0.29671 t=40058
mei yi lei xing 	每一類型	c=1 d=0.0441572 t=40058
mei yi liang 	每一輛	c=1 d=6.68931e-06 t=40058
mei yi mi 	每一米	c=1 d=0.308819 t=40058
mei yi mi 	沒一米	c=-1 d=4.64449e-08 t=40058
mei yi zhi ji 	酶抑制劑	c=1 d=0.172907 t=40058
mei yin 	沒音	c=1 d=0.160414 t=40058
mei yong 	沒用	c=1 d=1.59283e-06 t=40058
mei you 	沒有	c=84 d=4.93814 t=40058
mei you huo xing 	酶有活性	c=-1 d=1.05982e-07 t=40058
mei you ren 	沒有人	c=0 d=0.0440432 t=40058
mei you ren guan 	沒有人管	c=1 d=0.442639 t=40058
mei you sha 	沒有啥	c=1 d=0.00396599 t=40058
mei you sheng xiao 	沒有生效	c=1 d=0.946485 t=40058
mei you xie 	沒有寫	c=1 d=0.232236 t=40058
mei yuan 	酶原	c=5 d=0.0964203 t=40058
mei yuan ji huo 	酶原激活	c=1 d=0.0219278 t=40058
mei yue 	每月	c=1 d=0.0948935 t=40058
mei zhao dao 	沒找到	c=1 d=0.524663 t=40058
mei zhao zhuo 	沒找着	c=1 d=0.440432 t=40058
mei zhi 	媒質	c=1 d=0.0096577 t=40058
mei zhi 	每隻	c=1 d=0.532592 t=40058
mei zhong 	每種	c=3 d=0.580348 t=40058
mei zhong 	美中	c=0 d=0.000113627 t=40058
mei zhong bu zu 	美中不足	c=1 d=0.932394 t=40058
mei zhong guan xi 	美中關係	c=1 d=0.00114197 t=40058
mei zhou 	每週	c=1 d=0.486752 t=40058
mei zi 	妹子	c=1 d=0.00960953 t=40058
mei zou 	沒走	c=-1 d=6.59084e-08 t=40058
men 	們	c=3 d=0.922332 t=40058
men 	門	c=2 d=0.631284 t=40058
men kong 	門控	c=0 d=0.0392586 t=40058
men kou 	門口	c=4 d=1.75299 t=40058
men shen li jing 	捫參歷井	c=0 d=3.291e-15 t=40058
men shen li jing yang xie xi 	捫參歷井仰脅息	c=1 d=3.3075e-14 t=40058
men wai 	門外	c=0 d=4.70571e-16 t=40058
men zhen 	門診	c=3 d=1.32745 t=40058
meng 	夢	c=1 d=0.141482 t=40058
meng 	孟	c=0 d=1.05336e-13 t=40058
meng chang gao jie 	孟嚐高潔	c=1 d=3.89077e-13 t=40058
meng de 	孟德	c=1 d=9.98607e-14 t=40058
meng dong 	孟冬	c=0 d=9.61443e-10 t=40058
meng hao ran 	孟浩然	c=1 d=1.75186e-08 t=40058
meng hu 	猛虎	c=0 d=3.7106e-15 t=40058
meng ke 	孟軻	c=0 d=4.43861e-05 t=40058
meng li 	夢裏	c=1 d=0.285076 t=40058
meng ran 	猛然	c=1 d=0.00154923 t=40058
meng ri bian 	夢日邊	c=1 d=5.37195e-14 t=40058
meng rong 	蒙茸	c=0 d=1.68811e-14 t=40058
meng xiang 	夢想	c=2 d=0.660658 t=40058
meng xue shi zhi ci zong 	孟學士之詞宗	c=1 d=2.48087e-13 t=40058
meng yi dao shi 	夢一道士	c=1 d=1.9321e-13 t=40058
meng you 	夢遊	c=0 d=1.83343e-15 t=40058
meng you tian mu yin liu bie 	夢遊天姥吟留別	c=1 d=1.84263e-14 t=40058
mi 	密	c=1 d=0.40657 t=40058
mi 	米	c=7 d=1.34344 t=40058
mi 	糜	c=0 d=2.91786e-11 t=40058
mi dan bai mei 	糜蛋白酶	c=1 d=2.93248e-10 t=40058
mi deng 	迷瞪	c=2 d=0.101944 t=40058
mi ding 	嘧啶	c=5 d=1.25062 t=40058
mi ding he gan suan 	嘧啶核苷酸	c=3 d=5.06746e-06 t=40058
mi ding jian 	嘧啶鹼	c=4 d=0.635513 t=40058
mi ding jian ji 	嘧啶鹼基	c=1 d=0.535261 t=40058
mi du 	密度	c=2 d=0.833175 t=40058
mi feng 	密封	c=0 d=0.026054 t=40058
mi feng jia ya xiao hua fa 	密封加壓消化法	c=1 d=0.261846 t=40058
mi han shu 	冪函數	c=2 d=0.000101103 t=40058
mi hua yi shi hu yi ming 	迷花倚石忽已暝	c=1 d=2.04663e-14 t=40058
mi ji 	密集	c=2 d=0.0187308 t=40058
mi ji di 	密集地	c=1 d=0.188247 t=40058
mi jin 	迷津	c=0 d=2.86797e-14 t=40058
mi ma 	密碼	c=3 d=0.431711 t=40058
mi ma zi 	密碼子	c=1 d=0.302704 t=40058
mi man xing 	瀰漫性	c=0 d=4.30429e-12 t=40058
mi man xing jian zhi xian wei hua xing xi fei 	瀰漫性間質纖維化型矽肺	c=1 d=2.09266e-11 t=40058
mi man xing xian wei hua 	瀰漫性纖維化	c=1 d=2.2332e-11 t=40058
mi mi deng deng 	迷迷瞪瞪	c=1 d=0.00634556 t=40058
mi qie 	密切	c=1 d=0.489192 t=40058
mi qie gou tong 	密切溝通	c=2 d=0.00253763 t=40058
mi qie lian xi qun zhong 	密切聯繫羣衆	c=1 d=0.755784 t=40058
mi san 	彌散	c=0 d=0.00014018 t=40058
mi san lin ba zu zhi 	彌散淋巴組織	c=1 d=0.00140882 t=40058
mi shi 	迷失	c=1 d=0.0057994 t=40058
mi shi chang shu 	米氏常數	c=1 d=0.060205 t=40058
mi shi fang cheng 	米氏方程	c=4 d=0.183892 t=40058
mi shi mei 	米氏酶	c=3 d=0.494328 t=40058
mi wu 	迷霧	c=1 d=0.839457 t=40058
mi xian 	米線	c=1 d=0.937067 t=40058
mian 	免	c=1 d=5.02773e-29 t=40058
mian 	麪	c=2 d=0.387819 t=40058
mian de 	免得	c=1 d=0.0197421 t=40058
mian dui 	面對	c=2 d=0.697676 t=40058
mian fei 	免費	c=3 d=0.0814555 t=40058
mian guan 	麪館	c=1 d=3.28876e-06 t=40058
mian ji 	面積	c=3 d=0.276651 t=40058
mian jian 	面見	c=1 d=0.782705 t=40058
mian lin 	面臨	c=2 d=0.643229 t=40058
mian lin de 	面臨的	c=1 d=0.000808767 t=40058
mian mao 	面貌	c=0 d=0.0463013 t=40058
mian qian 	面前	c=1 d=0.0728029 t=40058
mian shi 	面試	c=1 d=6.86098e-10 t=40058
mian shou 	免受	c=1 d=0.000713734 t=40058
mian tiao 	麪條	c=4 d=1.40639 t=40058
mian xiang 	面向	c=1 d=0.11475 t=40058
mian yi 	免疫	c=13 d=2.80803 t=40058
mian yi cheng xu 	免疫程序	c=1 d=1.02371e-11 t=40058
mian yi ci ji ji 	免疫刺激劑	c=1 d=0.00719046 t=40058
mian yi fan ying 	免疫反應	c=1 d=0.000199439 t=40058
mian yi fang yu 	免疫防禦	c=1 d=0.771052 t=40058
mian yi fen zi 	免疫分子	c=1 d=0.615697 t=40058
mian yi gong neng 	免疫功能	c=6 d=2.30458 t=40058
mian yi gui hua 	免疫規劃	c=1 d=1.01353e-11 t=40058
mian yi ji huo zuo yong 	免疫激活作用	c=1 d=0.412714 t=40058
mian yi ji yi 	免疫記憶	c=2 d=0.271408 t=40058
mian yi jian shi 	免疫監視	c=2 d=0.826959 t=40058
mian yi nai shou 	免疫耐受	c=15 d=1.47978 t=40058
mian yi nai shou ji zhi 	免疫耐受機制	c=1 d=0.0166557 t=40058
mian yi qi guan 	免疫器官	c=7 d=0.622274 t=40058
mian yi qiu dan bai 	免疫球蛋白	c=13 d=1.33301 t=40058
mian yi que xian bing 	免疫缺陷病	c=4 d=0.0514061 t=40058
mian yi sun shang 	免疫損傷	c=1 d=0.0231853 t=40058
mian yi sun shang ji zhi 	免疫損傷機制	c=1 d=0.0212797 t=40058
mian yi tao yi ji zhi 	免疫逃逸機制	c=1 d=0.0241131 t=40058
mian yi tiao jie 	免疫調節	c=7 d=1.00483 t=40058
mian yi tiao jie gong neng wen luan 	免疫調節功能紊亂	c=1 d=0.000194515 t=40058
mian yi tiao jie te xing 	免疫調節特性	c=1 d=0.0131675 t=40058
mian yi tiao jie zuo yong 	免疫調節作用	c=2 d=0.460609 t=40058
mian yi tu jing 	免疫途徑	c=1 d=0.185444 t=40058
mian yi xi bao 	免疫細胞	c=13 d=1.64789 t=40058
mian yi xi bao gong neng 	免疫細胞功能	c=1 d=0.418952 t=40058
mian yi xi tong 	免疫系統	c=14 d=3.98658 t=40058
mian yi xiang guan ji bing 	免疫相關疾病	c=1 d=0.594521 t=40058
mian yi xiao ying 	免疫效應	c=1 d=0.0306538 t=40058
mian yi xing 	免疫性	c=0 d=0.00341239 t=40058
mian yi xing ji bing 	免疫性疾病	c=1 d=0.0303487 t=40058
mian yi xue 	免疫學	c=9 d=0.634146 t=40058
mian yi xue fang zhi 	免疫學防治	c=1 d=0.00414854 t=40058
mian yi xue te xing 	免疫學特性	c=1 d=0.0306538 t=40058
mian yi xue wen ti 	免疫學問題	c=1 d=0.0266491 t=40058
mian yi yi zhi ji 	免疫抑制劑	c=1 d=0.465334 t=40058
mian yi yin ji 	免疫印跡	c=1 d=0.519442 t=40058
mian yi ying da 	免疫應答	c=26 d=3.25294 t=40058
mian yi ying da lei xing 	免疫應答類型	c=2 d=0.935526 t=40058
mian yi yu fang 	免疫預防	c=2 d=0.0290133 t=40058
mian yi yu feng 	免疫御風	c=-1 d=1.44995e-18 t=40058
mian yi yuan 	免疫原	c=3 d=0.0414835 t=40058
mian yi yuan xing 	免疫原性	c=4 d=0.127406 t=40058
mian yi zhen duan 	免疫診斷	c=1 d=0.358796 t=40058
mian yi zhi liao 	免疫治療	c=2 d=0.393378 t=40058
mian yi zu zhi 	免疫組織	c=1 d=0.00132016 t=40058
mian yi zuo ji 	免疫佐劑	c=1 d=0.191092 t=40058
mian yu 	免於	c=0 d=1.06292e-13 t=40058
mian yuan wu ran 	麪源污染	c=1 d=1.6419e-10 t=40058
mian zi tang 	棉子糖	c=1 d=3.82229e-10 t=40058
mian zu 	免租	c=1 d=0.0833256 t=40058
miao 	妙	c=0 d=7.91109e-10 t=40058
miao 	渺	c=0 d=1.10916e-14 t=40058
miao 	秒	c=1 d=0.869358 t=40058
miao cang hai zhi yi su 	渺滄海之一粟	c=1 d=1.11472e-13 t=40058
miao miao 	渺渺	c=0 d=8.68148e-15 t=40058
miao miao xi yu huai 	渺渺兮予懷	c=1 d=8.72499e-14 t=40058
miao sha 	秒殺	c=1 d=0.600496 t=40058
miao shu 	描述	c=6 d=1.21453 t=40058
